TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRank	TaxonomicStatus
cyphophthalmi:tid:360	http://cyphophthalmi.lifedesks.org/pages/360	Chileogovea	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:364	http://cyphophthalmi.lifedesks.org/pages/364	Parapurcellia	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:363	http://cyphophthalmi.lifedesks.org/pages/363	Neopurcellia	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:367	http://cyphophthalmi.lifedesks.org/pages/367	Rakaia	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:358	http://cyphophthalmi.lifedesks.org/pages/358	Aoraki	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:366	http://cyphophthalmi.lifedesks.org/pages/366	Purcellia	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:359	http://cyphophthalmi.lifedesks.org/pages/359	Austropurcellia	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:368	http://cyphophthalmi.lifedesks.org/pages/368	Speleosiro	cyphophthalmi:tid:334	genus	
cyphophthalmi:tid:376	http://cyphophthalmi.lifedesks.org/pages/376	Fangensis	cyphophthalmi:tid:335	genus	
cyphophthalmi:tid:377	http://cyphophthalmi.lifedesks.org/pages/377	Leptopsalis	cyphophthalmi:tid:335	genus	
cyphophthalmi:tid:379	http://cyphophthalmi.lifedesks.org/pages/379	Miopsalis	cyphophthalmi:tid:335	genus	
cyphophthalmi:tid:380	http://cyphophthalmi.lifedesks.org/pages/380	Stylocellus	cyphophthalmi:tid:335	genus	
cyphophthalmi:tid:378	http://cyphophthalmi.lifedesks.org/pages/378	Meghalaya	cyphophthalmi:tid:335	genus	
cyphophthalmi:tid:350	http://cyphophthalmi.lifedesks.org/pages/350	Parogovia pabsgarnoni	cyphophthalmi:tid:336	species	
cyphophthalmi:tid:351	http://cyphophthalmi.lifedesks.org/pages/351	Parogovia sironoides	cyphophthalmi:tid:336	species	
cyphophthalmi:tid:349	http://cyphophthalmi.lifedesks.org/pages/349	Parogovia gabonica	cyphophthalmi:tid:336	species	
cyphophthalmi:tid:456	http://cyphophthalmi.lifedesks.org/pages/456	Brasilogovea microphaga	cyphophthalmi:tid:347		basionym
cyphophthalmi:tid:347	http://cyphophthalmi.lifedesks.org/pages/347	Neogovea microphaga	cyphophthalmi:tid:337	species	
cyphophthalmi:tid:454	http://cyphophthalmi.lifedesks.org/pages/454	Siro kartabo	cyphophthalmi:tid:346		basionym
cyphophthalmi:tid:455	http://cyphophthalmi.lifedesks.org/pages/455	Sirula kartabo	cyphophthalmi:tid:346		replaced name
cyphophthalmi:tid:346	http://cyphophthalmi.lifedesks.org/pages/346	Neogovea kartabo	cyphophthalmi:tid:337	species	
cyphophthalmi:tid:344	http://cyphophthalmi.lifedesks.org/pages/344	Neogovea immsi	cyphophthalmi:tid:337	species	
